"Frequency","Power"
5.17923e+09,-97.0557
5.17923e+09,-98.0279
5.17923e+09,-95.7113
5.17923e+09,-89.5745
5.17924e+09,-90.0285
5.17924e+09,-92.2136
5.17924e+09,-91.4389
5.17924e+09,-90.776
5.17924e+09,-91.9578
5.17924e+09,-91.9212
5.17924e+09,-92.7847
5.17924e+09,-92.8983
5.17924e+09,-91.0468
5.17924e+09,-90.893
5.17924e+09,-92.2418
5.17924e+09,-91.9262
5.17924e+09,-112.512
5.17924e+09,-99.3723
5.17924e+09,-95.3141
5.17924e+09,-92.1335
5.17924e+09,-89.1057
5.17924e+09,-90.9953
5.17924e+09,-98.9764
5.17925e+09,-99.2171
5.17925e+09,-100.35
5.17925e+09,-103.966
5.17925e+09,-95.994
5.17925e+09,-92.3576
5.17925e+09,-95.7598
5.17925e+09,-105.192
5.17925e+09,-98.5479
5.17925e+09,-93.5294
5.17925e+09,-91.6754
5.17925e+09,-92.0572
5.17925e+09,-100.48
5.17925e+09,-92.6438
5.17925e+09,-96.2179
5.17925e+09,-88.5173
5.17925e+09,-89.8537
5.17925e+09,-99.3006
5.17925e+09,-96.7338
5.17925e+09,-93.0994
5.17925e+09,-93.8721
5.17926e+09,-92.9303
5.17926e+09,-126.982
5.17926e+09,-93.011
5.17926e+09,-98.0821
5.17926e+09,-101.829
5.17926e+09,-92.8001
5.17926e+09,-88.7923
5.17926e+09,-90.702
5.17926e+09,-93.8831
5.17926e+09,-92.7254
5.17926e+09,-95.7538
5.17926e+09,-93.5899
5.17926e+09,-96.1692
5.17926e+09,-108.085
5.17926e+09,-93.2775
5.17926e+09,-89.0403
5.17926e+09,-93.9064
5.17926e+09,-102.961
5.17926e+09,-92.7925
5.17927e+09,-100.734
5.17927e+09,-93.7177
5.17927e+09,-96.4963
5.17927e+09,-101.33
5.17927e+09,-106.665
5.17927e+09,-98.5369
5.17927e+09,-96.8459
5.17927e+09,-99.6868
